album_id,nombre,fecha_lanzamiento
1,57,8/11/2024
2,Soltera (W Sound 01),6/08/2024
3,MÃ­rame,17/04/2024
4,DEPORTIVO,14/11/2024
5,POLOS OPUESTOS REMIX (BLESSD VERSION),9/10/2024
6,FERXXOCALIPSIS,1/12/2023
7,FDSR,10/10/2024
8,SE ME OLVIDA,23/08/2024
9,Cosas Pendientes,21/11/2024
10,Cosa Nuestra,15/11/2024
11,SQ (W Sound 04),20/11/2024
12,Las Piponas (Remix),1/10/2024
13,Si Antes Te Hubiera Conocido,21/06/2024
14,Duelo,7/11/2024
15,ImagÃ­nate,7/11/2024
16,UWAIE,15/08/2024
17,Ohnana,6/06/2024
18,Frente al Mar,26/09/2024
19,Tu Boda,26/09/2024
20,LA PANTERA NEGRA (DELUXE),17/10/2024
21,SORRY 4 THAT MUCH,7/06/2024
22,FELIZ CUMPLEAÃ‘OS FERXXO TE PIRATEAMOS EL ÃLBUM,14/09/2022
23,Oe BebÃ©,5/06/2024
24,PRIMERA MUSA,20/09/2024
25,El Fenomeno,8/12/2008
26,nadie sabe lo que va a pasar maÃ±ana,13/10/2023
27,The SexyTrip,26/12/2023
28,Dile a Tu Amiga,13/12/2011
29,Orion,29/05/2024
30,"Pretty Boy, Dirty Boy",30/10/2015
31,Santa,3/04/2024
32,Soltera,25/09/2024
33,Don Juan,25/08/2023
34,EL CANTANTE DEL GHETTO,10/05/2024
35,Die With A Smile,16/08/2024
36,BlessDeluxury,16/05/2024
37,MAÃ‘ANA SERÃ BONITO,24/02/2023
38,40,29/05/2020
39,Rayo,9/08/2024
40,Me Prefieres A Mi,1/01/2012
41,APT.,18/10/2024
42,Cipote Carnaval 2011,20/06/2011
43,MAÃ‘ANA SERÃ BONITO (BICHOTA SEASON),10/08/2023
44,CASI ALGO,5/09/2024
45,MANIFESTING 20-05,10/04/2024
46,El Abayarde,1/07/2003
47,Happy - :') (Remixes),19/11/2024
48,En Otra Vida,10/10/2024
49,Ã‘ejo & Dalmata Special Edition,1/10/2012
50,Yo Te Quiero (feat. Chris Jonex),25/10/2024
51,HOCO en la U (Â¿que hubo?),6/09/2024
52,House Of Pleasure,20/07/2010
53,No Te Rayes,17/10/2024
54,House of Pleasure,20/07/2010
55,cuatro,23/05/2024
56,SI SABE,25/01/2024
57,El Bokisucio,8/03/2016
58,DimensiÃ³n Latina '75,1/01/1974
59,Una DimensiÃ³n De Ã‰xitos,17/01/1996
60,Contentoso,29/08/2024
61,Coqueta,23/08/2024
62,No Me Cansare,18/10/2024
63,El Comienzo,25/08/2023
64,MUSE,19/07/2024
65,Desire,10/07/2024
66,GOTTI A,4/07/2024
67,Colmillo De Leche,19/05/2023
68,Vicente Fernandez Para Siempre,26/08/2007
69,ESQUINAS,28/09/2023
70,HIT ME HARD AND SOFT,17/05/2024
71,Loco,8/08/2019
72,AMERI,31/10/2024
73,ÃNGEL,25/07/2024
74,Merry Christmas,28/10/1994
75,2000,17/03/2023
76,Amor de Vago,23/08/2024
77,Si Un DÃ­a EstÃ¡s Sola | CROSSOVER #7,3/09/2024
78,"Perdonarte, Â¿Para QuÃ©?",23/05/2024
79,noviogangsta <3,12/10/2024
80,AGORA,12/09/2024
81,Hoy,22/05/2024
82,QUE NOS FALTE TODO,2/02/2024
83,PaÂ´ Que Te Acuerdes | CROSSOVER #8,2/10/2024
84,DOCTOR,29/08/2024
85,Loquita (Remix),15/05/2024
86,LA PANTERA NEGRA,22/08/2024
87,Princesa,12/09/2024
88,Mil Preguntas,11/04/2024
89,SINVERGÃœENZA - con Angela Torres,5/12/2023
90,444,6/06/2024
91,DespÃ³jate Vol.2,3/10/2024
92,URIEL LOZANO / Zapada EN VIVO en UN POCO DE RUIDO!,28/07/2024
93,Cuando Te Vi | CROSSOVER #5,27/06/2024
94,TU DUO FAVORITO,6/09/2023
95,Tu Foto,16/05/2024
96,COLOCARTELO,24/10/2024
97,EL COMIENZO,9/08/2024
98,Ojos Verdes,24/04/2024
99,El Calor Del Pleno Invierno,18/10/2012
100,LA NENA DE ARGENTINA,8/12/2022
101,UN SIGLO SIN TI,25/07/2024
102,TRAMPA AL TIEMPO,11/11/2024
103,CORAZÃ“N VACÃO,22/06/2023
104,Kyoto,14/07/2023
105,Me Voy,7/11/2024
106,La_Playlist.mpeg,20/06/2024
107,MJ,12/09/2024
108,Libertad,27/11/2013
109,Happy - :D (Remixes),19/11/2024
110,.mp3,3/11/2023
111,Mucho,1/01/2008
112,Lo + tranquilo,26/06/2020
113,Un Finde | CROSSOVER #2,4/04/2023
114,SE DICE DE MI,11/09/2024
115,Un MontÃ³n de Estrellas (En Vivo Gran Rex),8/06/2023
116,EL MAGO Y LA NUEVA / Zapada EN VIVO en UN POCO DE RUIDO!,26/07/2024
117,PONTE PERRO | DJ TAO Turreo Sessions #24,30/05/2024
118,Messirve Mix 7,7/09/2023
119,A200,17/10/2024
120,I Am Lucky Brown,23/10/2024
121,CHIKA MALA,8/08/2024
122,MIRALA,24/10/2024
123,SI NO ES CONTIGO,23/05/2024
124,MY LOVE,14/11/2024
125,SI NO ES CONTIGO (REMIX),17/10/2024
126,CHINGON,19/07/2024
127,SATIROLOGÃA,7/11/2024
128,Tattoo,5/09/2024
129,Partyson,9/11/2023
130,No Ponga Excusas,20/06/2024
131,Amigos Y Enemigos Almighty,21/08/2024
132,HOT,17/10/2024
133,Boomerang,8/11/2024
134,De La Zona MÃ¡s Extrema,3/10/2024
135,Amanece,14/12/2018
136,Tuss,12/07/2024
137,BEIA (Jere Klein),14/07/2024
138,Que Te Vaya Bien,2/09/2022
139,QUE LE DE,26/07/2024
140,Parte & Choke,5/11/2024
141,Toky,4/08/2022
142,Robando,9/10/2024
143,Que Onda,30/08/2023
144,La Historia... Los Ã‰xitos,25/06/2008
145,OASIS,28/06/2019
146,La Jama,13/11/2024
147,K.O.B. Live,19/12/2006
148,MICRODOSIS,1/04/2022
149,LVEU: VIVE LA TUYA...NO LA MIA,18/09/2023
150,"CantÃ¡ndole al Amor, Vol. 2",21/10/2023
151,Ven DevÃ³rame Otra Vez (Baile Total),24/11/2017
152,SATURNO,24/01/2023
153,Presidente,21/10/2024
154,INCÃ“MODO,22/08/2024
155,NADIE,21/11/2024
156,Que Sigan Llegando Las Pacas (Extended),18/10/2024
157,Ã‰XODO,20/06/2024
158,Atento Aviso ... Rey Sin Reina,5/09/2024
159,Madonna,8/03/2024
160,$AD BOYZ 4 LIFE II,5/10/2023
161,PERO NO TE ENAMORES,25/07/2024
162,Mejores Jordans,30/07/2024
163,LOS CUADROS,8/08/2024
164,Giza,10/07/2024
165,LA ODISEA,7/11/2024
166,No Son Doritos,23/08/2024
167,Kamikaze (feat. Victor Mendivil),14/11/2024
168,Si No Quieres No,10/03/2024
169,PRESENTE,17/11/2023
170,Apaga El Cel,22/12/2023
171,Un Scar,11/11/2024
172,Vaquero (Remix),8/08/2024
173,Dolido Pero No Arrepentido,9/02/2024
174,Volver Al Futuro,30/05/2024
175,Hecha Pa' MÃ­,3/10/2024
176,No Hay Loco Que No Corone,26/09/2024
177,Corridos Pa Mis Compas Y Rolitas Pa Mi Ex,22/08/2024
178,Â¿QuiÃ©n?,24/10/2024
179,Ese Vato No Te Queda,24/10/2024
180,Por Las Damas,1/01/2002
181,AsÃ­ Es Esto,15/10/2012
182,12 Favoritas,1/01/2013
183,Ãconos 25 Ã‰xitos,1/01/2012
